payment_sk,payment_id,booking_sk,amount,payment_method,amount_quality
77,PAY1076,960,9818.89,UPI,valid
78,PAY1077,502,,UPI,non_numeric
79,PAY1078,977,8576.26,NETBANKING,valid
80,PAY1079,334,2238.82,UPI,valid
81,PAY1080,284,1369.37,NETBANKING,valid
82,PAY1081,475,12076.76,CARD,valid
83,PAY1082,54,4621.1,UPI,valid
84,PAY1083,458,5769.17,CARD,valid
85,PAY1084,579,1897.18,CARD,valid
86,PAY1085,420,3513.0,NETBANKING,valid
87,PAY1086,614,11718.47,UPI,valid
88,PAY1087,632,7909.43,NETBANKING,valid
89,PAY1088,703,13329.36,CARD,valid
90,PAY1089,409,6561.39,UPI,valid
91,PAY1090,982,4761.81,CARD,valid
92,PAY1091,304,5866.4,CARD,valid
93,PAY1092,935,10978.81,UPI,valid
94,PAY1093,559,8770.08,UPI,valid
95,PAY1094,222,13658.68,UPI,valid
96,PAY1095,533,9430.36,NETBANKING,valid
97,PAY1096,158,7902.25,NETBANKING,valid
98,PAY1097,348,12000.54,CARD,valid
99,PAY1098,159,14265.47,UPI,valid
100,PAY1099,889,5981.84,CARD,valid
101,PAY1100,884,4498.27,CARD,valid
102,PAY1101,922,9627.04,CARD,valid
103,PAY1102,235,7984.22,CARD,valid
104,PAY1103,662,14848.6,CARD,valid
105,PAY1104,405,7473.06,UPI,valid
106,PAY1105,257,2040.64,NETBANKING,valid
107,PAY1106,677,14683.17,UPI,valid
108,PAY1107,589,12810.22,UPI,valid
109,PAY1108,597,3495.5,UPI,valid
110,PAY1109,558,13664.47,NETBANKING,valid
111,PAY1110,905,5769.34,NETBANKING,valid
112,PAY1111,913,6279.57,NETBANKING,valid
113,PAY1112,47,13689.48,UPI,valid
114,PAY1113,213,8421.62,NETBANKING,valid
115,PAY1114,479,2928.68,CARD,valid
116,PAY1115,487,6166.79,NETBANKING,valid
117,PAY1116,571,11109.36,UPI,valid
118,PAY1117,566,3438.58,UPI,valid
119,PAY1118,342,9263.24,CARD,valid
120,PAY1119,524,10733.84,NETBANKING,valid
121,PAY1120,704,5813.95,NETBANKING,valid
122,PAY1121,503,10714.33,CARD,valid
123,PAY1122,6,13378.9,UPI,valid
124,PAY1123,821,7609.63,UPI,valid
125,PAY1124,144,6360.73,NETBANKING,valid
126,PAY1125,858,4516.22,NETBANKING,valid
127,PAY1126,261,9458.88,NETBANKING,valid
128,PAY1127,585,13317.93,NETBANKING,valid
129,PAY1128,686,5545.26,NETBANKING,valid
130,PAY1129,232,6547.3,UPI,valid
131,PAY1130,270,6692.76,UPI,valid
132,PAY1131,940,8851.37,UPI,valid
133,PAY1132,447,4197.73,UPI,valid
134,PAY1133,874,12510.96,CARD,valid
135,PAY1134,222,5138.43,UPI,valid
136,PAY1135,52,10875.08,CARD,valid
137,PAY1136,116,8185.02,UPI,valid
138,PAY1137,538,9202.57,NETBANKING,valid
139,PAY1138,565,3514.52,NETBANKING,valid
140,PAY1139,877,11290.32,NETBANKING,valid
141,PAY1140,541,3640.69,CARD,valid
142,PAY1141,19,2588.63,UPI,valid
143,PAY1142,815,8653.51,UPI,valid
144,PAY1143,392,10930.16,CARD,valid
145,PAY1144,791,1700.5,CARD,valid
146,PAY1145,629,1971.53,CARD,valid
147,PAY1146,618,12237.51,CARD,valid
148,PAY1147,419,12326.46,CARD,valid
149,PAY1148,991,4434.27,NETBANKING,valid
150,PAY1149,309,9613.19,UPI,valid
151,PAY1150,739,7204.52,CARD,valid
152,PAY1151,864,9857.74,NETBANKING,valid
153,PAY1152,186,13080.31,CARD,valid
154,PAY1153,261,2117.99,NETBANKING,valid
155,PAY1154,528,11891.78,CARD,valid
156,PAY1155,273,7902.41,UPI,valid
157,PAY1156,160,8897.78,CARD,valid
158,PAY1157,870,10155.04,CARD,valid
159,PAY1158,762,13916.72,UPI,valid
160,PAY1159,224,1794.08,UPI,valid
161,PAY1160,256,1412.67,CARD,valid
162,PAY1161,180,3495.66,UPI,valid
163,PAY1162,20,14810.27,UPI,valid
164,PAY1163,624,11011.07,NETBANKING,valid
165,PAY1164,632,9604.98,UPI,valid
166,PAY1165,706,1658.55,UPI,valid
167,PAY1166,468,13307.54,CARD,valid
168,PAY1167,623,12378.6,CARD,valid
169,PAY1168,210,10307.2,NETBANKING,valid
170,PAY1169,513,5747.83,CARD,valid
171,PAY1170,58,1987.07,UPI,valid
172,PAY1171,93,9120.54,UPI,valid
173,PAY1172,221,11075.72,UPI,valid
174,PAY1173,723,,CARD,non_numeric
175,PAY1174,940,9872.75,UPI,valid
176,PAY1175,232,5009.12,UPI,valid
177,PAY1176,774,11699.42,NETBANKING,valid
178,PAY1177,364,8554.62,NETBANKING,valid
179,PAY1178,615,2806.52,NETBANKING,valid
180,PAY1179,562,8371.27,CARD,valid
181,PAY1180,374,6540.32,UPI,valid
182,PAY1181,622,3524.98,UPI,valid
183,PAY1182,456,12781.22,UPI,valid
184,PAY1183,88,1154.4,NETBANKING,valid
185,PAY1184,20,,UPI,missing
186,PAY1185,14,1176.33,UPI,valid
187,PAY1186,133,,UPI,missing
188,PAY1187,937,5159.35,UPI,valid
189,PAY1188,808,1759.8,UPI,valid
190,PAY1189,34,9352.83,CARD,valid
191,PAY1190,892,2216.08,UPI,valid
192,PAY1191,208,10823.99,CARD,valid
193,PAY1192,813,1736.99,UPI,valid
194,PAY1193,199,1830.32,CARD,valid
195,PAY1194,592,5274.56,UPI,valid
196,PAY1195,583,13552.0,UPI,valid
197,PAY1196,155,9979.51,UPI,valid
198,PAY1197,590,11781.84,UPI,valid
199,PAY1198,78,2981.73,NETBANKING,valid
200,PAY1199,172,12677.76,UPI,valid
201,PAY1200,289,1114.05,CARD,valid
202,PAY1201,545,3982.8,NETBANKING,valid
203,PAY1202,812,9625.29,NETBANKING,valid
204,PAY1203,788,6253.45,UPI,valid
205,PAY1204,879,14778.71,CARD,valid
206,PAY1205,420,1424.75,CARD,valid
207,PAY1206,7,14980.37,NETBANKING,valid
208,PAY1207,160,,CARD,missing
209,PAY1208,240,8821.9,UPI,valid
210,PAY1209,963,1833.17,UPI,valid
211,PAY1210,423,4826.6,UPI,valid
212,PAY1211,989,13945.28,UPI,valid
213,PAY1212,536,5959.44,UPI,valid
214,PAY1213,726,,NETBANKING,non_numeric
215,PAY1214,70,14992.95,UPI,valid
216,PAY1215,880,4682.98,UPI,valid
217,PAY1216,216,9065.13,NETBANKING,valid
218,PAY1217,104,10750.13,NETBANKING,valid
219,PAY1218,727,3304.78,NETBANKING,valid
220,PAY1219,54,3081.42,CARD,valid
221,PAY1220,806,,CARD,missing
222,PAY1221,330,6401.38,UPI,valid
223,PAY1222,848,10999.02,UPI,valid
224,PAY1223,203,1973.12,UPI,valid
225,PAY1224,288,14610.33,CARD,valid
226,PAY1225,45,1199.88,UPI,valid
227,PAY1226,829,9418.44,UPI,valid
228,PAY1227,198,8876.86,CARD,valid
229,PAY1228,216,2886.02,NETBANKING,valid
230,PAY1229,481,3112.82,CARD,valid
231,PAY1230,309,12097.48,UPI,valid
232,PAY1231,896,13425.87,CARD,valid
233,PAY1232,435,4962.24,NETBANKING,valid
234,PAY1233,332,7131.5,NETBANKING,valid
235,PAY1234,696,5969.93,NETBANKING,valid
236,PAY1235,27,2015.66,NETBANKING,valid
237,PAY1236,166,10424.86,NETBANKING,valid
238,PAY1237,318,12552.7,NETBANKING,valid
239,PAY1238,274,5268.31,UPI,valid
240,PAY1239,383,14862.46,UPI,valid
241,PAY1240,365,2061.92,CARD,valid
242,PAY1241,103,10265.07,UPI,valid
243,PAY1242,960,7275.19,NETBANKING,valid
244,PAY1243,503,7252.43,UPI,valid
245,PAY1244,845,,CARD,non_numeric
246,PAY1245,373,4621.54,NETBANKING,valid
247,PAY1246,616,11017.88,UPI,valid
248,PAY1247,926,11102.07,UPI,valid
249,PAY1248,245,4953.56,CARD,valid
250,PAY1249,817,,NETBANKING,non_numeric
251,PAY1250,169,5435.83,CARD,valid
252,PAY1251,628,11151.3,NETBANKING,valid
253,PAY1252,653,2694.0,NETBANKING,valid
254,PAY1253,418,3361.82,UPI,valid
255,PAY1254,356,5421.14,CARD,valid
256,PAY1255,478,9314.23,CARD,valid
257,PAY1256,125,,CARD,missing
258,PAY1257,537,6548.99,NETBANKING,valid
259,PAY1258,706,2089.75,CARD,valid
260,PAY1259,896,6230.89,NETBANKING,valid
261,PAY1260,612,10642.75,CARD,valid
262,PAY1261,402,10393.94,CARD,valid
263,PAY1262,517,3242.75,UPI,valid
264,PAY1263,531,1108.98,CARD,valid
265,PAY1264,682,11541.74,UPI,valid
266,PAY1265,786,2489.15,UPI,valid
267,PAY1266,254,2152.89,NETBANKING,valid
268,PAY1267,121,1037.82,CARD,valid
269,PAY1268,32,7056.42,CARD,valid
270,PAY1269,661,,CARD,missing
271,PAY1270,778,9927.3,UPI,valid
272,PAY1271,37,5144.89,CARD,valid
273,PAY1272,689,10945.95,NETBANKING,valid
274,PAY1273,342,,NETBANKING,missing
275,PAY1274,13,12647.86,CARD,valid
276,PAY1275,183,9005.88,UPI,valid
277,PAY1276,657,9174.46,NETBANKING,valid
278,PAY1277,265,3936.86,NETBANKING,valid
279,PAY1278,88,2037.52,UPI,valid
280,PAY1279,940,7506.15,NETBANKING,valid
281,PAY1280,462,9618.57,UPI,valid
282,PAY1281,46,2330.65,NETBANKING,valid
283,PAY1282,392,14307.48,UPI,valid
284,PAY1283,119,,NETBANKING,missing
285,PAY1284,933,8636.39,CARD,valid
286,PAY1285,531,14300.97,NETBANKING,valid
287,PAY1286,447,3512.23,NETBANKING,valid
288,PAY1287,732,1355.89,CARD,valid
289,PAY1288,942,1551.73,CARD,valid
290,PAY1289,745,9225.17,CARD,valid
291,PAY1290,606,,CARD,non_numeric
292,PAY1291,967,14419.64,UPI,valid
293,PAY1292,763,2987.06,UPI,valid
294,PAY1293,762,5266.12,NETBANKING,valid
295,PAY1294,794,12515.25,NETBANKING,valid
296,PAY1295,744,4062.36,NETBANKING,valid
297,PAY1296,46,4401.56,UPI,valid
298,PAY1297,886,9992.33,NETBANKING,valid
299,PAY1298,508,4865.21,NETBANKING,valid
300,PAY1299,558,4044.27,UPI,valid
301,PAY1300,971,4558.49,NETBANKING,valid
302,PAY1301,526,7869.06,UPI,valid
303,PAY1302,597,14525.4,UPI,valid
304,PAY1303,831,12651.33,CARD,valid
305,PAY1304,840,4984.54,CARD,valid
306,PAY1305,3,6087.22,UPI,valid
307,PAY1306,28,7503.17,UPI,valid
308,PAY1307,381,14705.02,CARD,valid
309,PAY1308,157,3413.47,NETBANKING,valid
310,PAY1309,855,6004.76,NETBANKING,valid
311,PAY1310,914,11211.97,NETBANKING,valid
312,PAY1311,931,,UPI,missing
313,PAY1312,511,3179.45,CARD,valid
314,PAY1313,333,4183.32,NETBANKING,valid
315,PAY1314,844,4159.73,CARD,valid
316,PAY1315,687,1293.05,CARD,valid
317,PAY1316,114,9457.62,UPI,valid
318,PAY1317,389,10389.84,NETBANKING,valid
319,PAY1318,487,9435.36,CARD,valid
320,PAY1319,843,1998.52,UPI,valid
321,PAY1320,250,1969.22,UPI,valid
322,PAY1321,571,3945.41,UPI,valid
323,PAY1322,715,5064.12,NETBANKING,valid
324,PAY1323,315,,NETBANKING,non_numeric
325,PAY1324,239,3231.46,UPI,valid
326,PAY1325,234,1617.29,NETBANKING,valid
327,PAY1326,303,6515.83,NETBANKING,valid
328,PAY1327,607,6829.49,CARD,valid
329,PAY1328,991,,UPI,missing
330,PAY1329,653,12576.65,UPI,valid
331,PAY1330,334,2372.08,NETBANKING,valid
332,PAY1331,113,10855.19,UPI,valid
333,PAY1332,621,5731.24,UPI,valid
334,PAY1333,362,5339.72,UPI,valid
335,PAY1334,857,14055.6,NETBANKING,valid
336,PAY1335,801,4478.56,NETBANKING,valid
337,PAY1336,97,9995.45,NETBANKING,valid
338,PAY1337,958,4851.79,CARD,valid
339,PAY1338,847,8100.01,UPI,valid
340,PAY1339,16,12008.1,CARD,valid
341,PAY1340,556,13344.12,NETBANKING,valid
342,PAY1341,954,12741.76,CARD,valid
343,PAY1342,376,9150.53,UPI,valid
344,PAY1343,742,4483.43,UPI,valid
345,PAY1344,390,,NETBANKING,missing
346,PAY1345,620,10938.67,NETBANKING,valid
347,PAY1346,217,1149.69,CARD,valid
348,PAY1347,399,7148.95,NETBANKING,valid
349,PAY1348,260,12805.67,CARD,valid
350,PAY1349,824,7854.23,UPI,valid
351,PAY1350,320,5359.26,UPI,valid
352,PAY1351,196,13205.17,UPI,valid
353,PAY1352,478,3182.33,UPI,valid
354,PAY1353,418,3890.23,UPI,valid
355,PAY1354,475,10623.21,CARD,valid
356,PAY1355,607,5934.1,UPI,valid
357,PAY1356,568,10982.24,CARD,valid
358,PAY1357,544,3207.85,UPI,valid
359,PAY1358,231,4531.77,CARD,valid
360,PAY1359,884,3193.06,CARD,valid
361,PAY1360,521,14340.74,CARD,valid
362,PAY1361,703,,NETBANKING,missing
363,PAY1362,873,5721.08,CARD,valid
364,PAY1363,200,1198.83,CARD,valid
365,PAY1364,846,3147.85,UPI,valid
366,PAY1365,673,6895.9,CARD,valid
367,PAY1366,599,1959.04,CARD,valid
368,PAY1367,21,8150.35,NETBANKING,valid
369,PAY1368,311,7370.22,UPI,valid
370,PAY1369,588,11740.35,NETBANKING,valid
371,PAY1370,953,10237.24,NETBANKING,valid
372,PAY1371,898,7243.26,NETBANKING,valid
373,PAY1372,653,4145.25,CARD,valid
374,PAY1373,638,11176.09,NETBANKING,valid
375,PAY1374,763,10910.07,NETBANKING,valid
376,PAY1375,900,3146.15,UPI,valid
377,PAY1376,596,13806.53,UPI,valid
378,PAY1377,434,1901.67,UPI,valid
379,PAY1378,371,1770.53,UPI,valid
380,PAY1379,560,3622.91,NETBANKING,valid
381,PAY1380,891,13732.45,UPI,valid
382,PAY1381,78,8279.97,CARD,valid
383,PAY1382,542,12031.17,NETBANKING,valid
384,PAY1383,285,4189.8,UPI,valid
385,PAY1384,648,7863.11,NETBANKING,valid
386,PAY1385,140,6016.05,UPI,valid
387,PAY1386,553,12589.6,NETBANKING,valid
388,PAY1387,998,,UPI,missing
389,PAY1388,282,4413.8,CARD,valid
390,PAY1389,562,3136.04,UPI,valid
391,PAY1390,258,13028.65,NETBANKING,valid
392,PAY1391,823,7545.61,NETBANKING,valid
393,PAY1392,360,,CARD,missing
394,PAY1393,440,7292.76,NETBANKING,valid
395,PAY1394,270,14606.94,CARD,valid
396,PAY1395,134,12903.74,NETBANKING,valid
397,PAY1396,746,10889.16,NETBANKING,valid
398,PAY1397,640,5066.71,CARD,valid
399,PAY1398,104,3312.42,NETBANKING,valid
400,PAY1399,766,13900.07,NETBANKING,valid
401,PAY1400,95,6923.06,CARD,valid
402,PAY1401,849,4902.58,UPI,valid
403,PAY1402,729,7592.89,CARD,valid
404,PAY1403,573,13849.86,NETBANKING,valid
405,PAY1404,480,6418.94,UPI,valid
406,PAY1405,780,8876.97,UPI,valid
407,PAY1406,241,12241.53,UPI,valid
408,PAY1407,13,6979.86,CARD,valid
409,PAY1408,147,,UPI,non_numeric
410,PAY1409,940,14923.36,UPI,valid
411,PAY1410,752,14391.99,UPI,valid
412,PAY1411,601,12808.71,NETBANKING,valid
413,PAY1412,95,10637.23,CARD,valid
414,PAY1413,827,5128.12,CARD,valid
415,PAY1414,293,13787.78,NETBANKING,valid
416,PAY1415,25,4857.79,UPI,valid
417,PAY1416,272,12211.33,NETBANKING,valid
418,PAY1417,505,13855.61,NETBANKING,valid
419,PAY1418,166,9442.05,UPI,valid
420,PAY1419,939,12242.79,UPI,valid
421,PAY1420,762,12083.73,CARD,valid
422,PAY1421,87,3704.21,UPI,valid
423,PAY1422,654,10350.94,NETBANKING,valid
424,PAY1423,646,2308.55,NETBANKING,valid
425,PAY1424,985,8109.9,UPI,valid
426,PAY1425,791,3271.3,CARD,valid
427,PAY1426,638,6828.89,NETBANKING,valid
428,PAY1427,828,12661.75,UPI,valid
429,PAY1428,491,,CARD,non_numeric
430,PAY1429,908,5451.44,CARD,valid
431,PAY1430,141,8447.38,NETBANKING,valid
432,PAY1431,868,8158.17,NETBANKING,valid
433,PAY1432,103,14361.62,CARD,valid
434,PAY1433,226,,CARD,non_numeric
435,PAY1434,902,10787.49,CARD,valid
436,PAY1435,575,13905.05,UPI,valid
437,PAY1436,294,6227.3,NETBANKING,valid
438,PAY1437,896,13629.71,CARD,valid
439,PAY1438,306,13844.39,NETBANKING,valid
440,PAY1439,254,14029.28,NETBANKING,valid
441,PAY1440,180,4786.25,NETBANKING,valid
442,PAY1441,40,6604.98,CARD,valid
443,PAY1442,776,13185.54,UPI,valid
444,PAY1443,701,6028.27,CARD,valid
445,PAY1444,520,9403.54,NETBANKING,valid
446,PAY1445,616,2652.76,CARD,valid
447,PAY1446,737,1787.85,CARD,valid
448,PAY1447,546,6767.92,NETBANKING,valid
449,PAY1448,236,,NETBANKING,non_numeric
450,PAY1449,463,6497.79,CARD,valid
451,PAY1450,228,,CARD,non_numeric
452,PAY1451,700,8211.18,CARD,valid
453,PAY1452,825,10599.9,CARD,valid
454,PAY1453,483,10093.45,UPI,valid
455,PAY1454,430,6939.44,CARD,valid
456,PAY1455,22,6949.93,UPI,valid
457,PAY1456,343,,NETBANKING,missing
458,PAY1457,40,8185.34,UPI,valid
459,PAY1458,173,9220.51,NETBANKING,valid
460,PAY1459,439,7670.85,UPI,valid
461,PAY1460,179,,NETBANKING,missing
462,PAY1461,598,11103.08,CARD,valid
463,PAY1462,133,2045.26,UPI,valid
464,PAY1463,351,13802.17,UPI,valid
465,PAY1464,525,1289.01,NETBANKING,valid
466,PAY1465,540,14472.9,NETBANKING,valid
467,PAY1466,506,7472.98,UPI,valid
468,PAY1467,84,6777.38,NETBANKING,valid
469,PAY1468,993,4590.22,CARD,valid
470,PAY1469,464,1141.0,UPI,valid
471,PAY1470,830,4847.06,CARD,valid
472,PAY1471,861,2531.6,UPI,valid
473,PAY1472,343,10237.49,CARD,valid
474,PAY1473,280,5467.05,UPI,valid
475,PAY1474,866,11740.51,NETBANKING,valid
476,PAY1475,263,3896.83,UPI,valid
477,PAY1476,166,13603.29,CARD,valid
478,PAY1477,293,8321.74,UPI,valid
479,PAY1478,509,2603.09,CARD,valid
480,PAY1479,580,6611.83,CARD,valid
481,PAY1480,226,3894.65,CARD,valid
482,PAY1481,170,3795.6,NETBANKING,valid
483,PAY1482,598,8089.18,UPI,valid
484,PAY1483,645,10406.49,CARD,valid
485,PAY1484,448,13762.65,NETBANKING,valid
486,PAY1485,690,8030.27,CARD,valid
487,PAY1486,855,14521.74,UPI,valid
488,PAY1487,502,14182.89,NETBANKING,valid
489,PAY1488,764,,CARD,non_numeric
490,PAY1489,527,7999.68,CARD,valid
491,PAY1490,735,2972.66,CARD,valid
492,PAY1491,379,4050.66,UPI,valid
493,PAY1492,201,10067.38,NETBANKING,valid
494,PAY1493,619,6904.57,NETBANKING,valid
495,PAY1494,250,3055.22,NETBANKING,valid
496,PAY1495,949,7705.92,CARD,valid
497,PAY1496,409,1244.03,NETBANKING,valid
498,PAY1497,601,11274.54,CARD,valid
499,PAY1498,125,2030.14,UPI,valid
500,PAY1499,113,9807.59,NETBANKING,valid
501,PAY1500,981,12102.14,CARD,valid
502,PAY1501,137,2857.01,NETBANKING,valid
503,PAY1502,759,8260.94,NETBANKING,valid
504,PAY1503,496,11906.95,UPI,valid
505,PAY1504,678,4648.87,NETBANKING,valid
506,PAY1505,150,3280.83,UPI,valid
507,PAY1506,875,5715.47,NETBANKING,valid
508,PAY1507,343,8765.79,NETBANKING,valid
509,PAY1508,945,9053.91,NETBANKING,valid
510,PAY1509,580,2832.27,NETBANKING,valid
511,PAY1510,733,7405.96,NETBANKING,valid
512,PAY1511,783,4755.95,NETBANKING,valid
513,PAY1512,321,12788.34,UPI,valid
514,PAY1513,822,5390.05,UPI,valid
515,PAY1514,926,12741.86,CARD,valid
516,PAY1515,861,6999.9,NETBANKING,valid
517,PAY1516,532,11172.2,UPI,valid
518,PAY1517,289,8140.84,NETBANKING,valid
519,PAY1518,489,9707.48,NETBANKING,valid
520,PAY1519,492,6534.99,UPI,valid
521,PAY1520,612,11754.89,NETBANKING,valid
522,PAY1521,252,6952.65,UPI,valid
523,PAY1522,982,7404.46,UPI,valid
524,PAY1523,77,8247.5,CARD,valid
525,PAY1524,647,12645.54,CARD,valid
526,PAY1525,392,10231.31,CARD,valid
527,PAY1526,412,5888.25,CARD,valid
528,PAY1527,173,10384.47,NETBANKING,valid
529,PAY1528,875,9993.97,NETBANKING,valid
530,PAY1529,201,14034.27,CARD,valid
531,PAY1530,217,12779.83,UPI,valid
532,PAY1531,376,10064.26,UPI,valid
533,PAY1532,720,5781.1,UPI,valid
534,PAY1533,586,11914.07,UPI,valid
535,PAY1534,11,,NETBANKING,non_numeric
536,PAY1535,799,14793.78,UPI,valid
537,PAY1536,768,4465.09,UPI,valid
538,PAY1537,12,2115.18,CARD,valid
539,PAY1538,892,1978.49,UPI,valid
540,PAY1539,991,9960.43,NETBANKING,valid
541,PAY1540,590,14149.64,UPI,valid
542,PAY1541,435,1027.05,UPI,valid
543,PAY1542,684,11160.79,NETBANKING,valid
544,PAY1543,608,10198.91,CARD,valid
545,PAY1544,818,11252.26,NETBANKING,valid
546,PAY1545,373,5975.68,CARD,valid
547,PAY1546,273,12486.95,UPI,valid
548,PAY1547,931,1625.9,CARD,valid
549,PAY1548,897,,CARD,missing
550,PAY1549,925,4739.01,CARD,valid
551,PAY1550,691,7675.73,UPI,valid
552,PAY1551,576,12516.91,CARD,valid
553,PAY1552,509,4799.03,CARD,valid
554,PAY1553,132,3592.91,UPI,valid
555,PAY1554,855,10538.38,NETBANKING,valid
556,PAY1555,924,8467.53,NETBANKING,valid
557,PAY1556,784,8201.65,NETBANKING,valid
558,PAY1557,319,4594.77,UPI,valid
559,PAY1558,844,1488.32,UPI,valid
560,PAY1559,949,6743.77,NETBANKING,valid
561,PAY1560,853,2491.83,CARD,valid
562,PAY1561,621,13683.85,NETBANKING,valid
563,PAY1562,785,1577.5,UPI,valid
564,PAY1563,168,7043.11,CARD,valid
565,PAY1564,397,1731.44,CARD,valid
566,PAY1565,180,2337.61,UPI,valid
567,PAY1566,58,10224.13,CARD,valid
568,PAY1567,480,10059.56,NETBANKING,valid
569,PAY1568,933,,UPI,missing
570,PAY1569,591,1015.84,UPI,valid
571,PAY1570,460,2103.45,UPI,valid
572,PAY1571,61,11681.98,UPI,valid
573,PAY1572,369,9184.07,CARD,valid
574,PAY1573,121,1533.66,UPI,valid
575,PAY1574,719,7833.36,UPI,valid
576,PAY1575,546,10968.41,CARD,valid
577,PAY1576,582,,UPI,non_numeric
578,PAY1577,17,14076.51,CARD,valid
579,PAY1578,496,5584.17,CARD,valid
580,PAY1579,497,2901.65,UPI,valid
581,PAY1580,505,4316.96,NETBANKING,valid
582,PAY1581,532,,UPI,missing
583,PAY1582,969,14600.78,NETBANKING,valid
584,PAY1583,315,7529.51,CARD,valid
585,PAY1584,69,5274.94,NETBANKING,valid
586,PAY1585,727,7008.67,UPI,valid
587,PAY1586,161,5267.38,UPI,valid
588,PAY1587,614,4590.83,NETBANKING,valid
589,PAY1588,888,9312.51,UPI,valid
590,PAY1589,718,1220.3,NETBANKING,valid
591,PAY1590,145,,CARD,non_numeric
592,PAY1591,569,,NETBANKING,missing
593,PAY1592,595,1448.88,NETBANKING,valid
594,PAY1593,993,2164.83,NETBANKING,valid
595,PAY1594,385,5107.55,NETBANKING,valid
596,PAY1595,269,13289.27,CARD,valid
597,PAY1596,923,11708.41,CARD,valid
598,PAY1597,454,1310.19,CARD,valid
599,PAY1598,699,8023.98,NETBANKING,valid
600,PAY1599,518,,CARD,missing
601,PAY1600,865,10081.04,UPI,valid
602,PAY1601,350,11101.75,CARD,valid
603,PAY1602,110,13080.08,NETBANKING,valid
604,PAY1603,483,7655.83,UPI,valid
605,PAY1604,407,14922.3,NETBANKING,valid
606,PAY1605,650,14719.81,UPI,valid
607,PAY1606,51,13350.33,NETBANKING,valid
608,PAY1607,403,9048.17,NETBANKING,valid
609,PAY1608,563,6572.09,UPI,valid
610,PAY1609,476,6101.41,CARD,valid
611,PAY1610,87,1169.75,UPI,valid
612,PAY1611,68,4488.44,UPI,valid
