flight_sk,flight_id,airline_key,route_key,departure_date_key,departure_ts,arrival_ts,duration_minutes,is_overnight,is_red_eye,departure_hour,was_corrected,correction_reason
59,6F059,2,8,20260419,2026-04-19 01:12:41.701,2026-04-19 06:02:41.701,290.0,False,True,1,False,
60,6F060,2,16,20260418,2026-04-18 05:29:41.701,2026-04-18 07:29:42.000,120.0,False,False,5,False,
61,6F061,2,27,20260419,2026-04-19 07:28:41.701,2026-04-19 08:09:41.701,41.0,False,False,7,False,
62,6F062,2,13,20260418,2026-04-18 04:55:41.701,2026-04-18 06:22:41.701,87.0,False,True,4,False,
63,6F063,2,19,20260419,2026-04-19 04:42:41.701,2026-04-19 07:31:41.701,169.0,False,True,4,False,
64,6F064,2,13,20260418,2026-04-18 21:45:41.701,2026-04-18 22:50:41.701,65.0,False,False,21,False,
65,6F065,2,26,20260419,2026-04-19 19:40:41.701,2026-04-19 22:23:41.701,163.0,False,False,19,False,
66,6F066,2,4,20260419,2026-04-19 06:07:41.701,2026-04-19 07:43:41.701,96.0,False,False,6,False,
67,6F067,2,26,20260419,2026-04-19 02:59:41.701,2026-04-19 06:02:41.701,183.0,False,True,2,False,
68,6F068,2,4,20260420,2026-04-20 11:17:41.701,2026-04-20 15:06:41.701,229.0,False,False,11,False,
69,6F069,2,26,20260417,2026-04-17 23:44:41.701,2026-04-18 03:17:41.701,213.0,True,True,23,False,
70,6F070,2,24,20260419,2026-04-19 23:23:41.701,2026-04-20 02:24:41.701,181.0,True,True,23,False,
71,6F071,2,18,20260419,2026-04-19 20:18:41.702,2026-04-20 00:31:41.702,253.0,True,False,20,False,
72,6F072,2,2,20260418,2026-04-18 02:14:41.702,2026-04-18 03:11:41.702,57.0,False,True,2,False,
73,6F073,2,18,20260420,2026-04-20 11:38:41.702,2026-04-20 15:18:41.702,220.0,False,False,11,False,
74,6F074,2,22,20260420,2026-04-20 11:09:41.702,2026-04-20 14:29:41.702,200.0,False,False,11,False,
75,6F075,2,7,20260419,2026-04-19 22:20:41.702,2026-04-20 03:02:41.702,282.0,True,True,22,False,
76,6F076,2,14,20260418,2026-04-18 15:35:41.702,2026-04-18 16:20:41.702,45.0,False,False,15,False,
77,6F077,2,13,20260420,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,258.0,False,False,14,False,
78,6F078,2,7,20260419,2026-04-19 22:04:41.702,2026-04-19 23:37:41.702,93.0,False,True,22,False,
79,6F079,2,30,20260419,2026-04-19 02:14:41.702,2026-04-19 06:18:41.702,244.0,False,True,2,False,
80,6F080,2,25,20260417,2026-04-17 19:47:41.702,2026-04-17 23:13:41.702,206.0,False,False,19,False,
81,6F081,2,26,20260418,2026-04-18 06:04:41.702,2026-04-18 07:43:41.702,99.0,False,False,6,False,
82,6F082,2,6,20260417,2026-04-17 20:26:41.702,2026-04-17 22:26:41.702,120.0,False,False,20,False,
83,6F083,2,3,20260420,2026-04-20 05:24:41.702,2026-04-20 06:03:41.702,39.0,False,False,5,False,
84,6F084,2,14,20260420,2026-04-20 10:34:41.702,2026-04-20 11:34:42.000,60.0,False,False,10,False,
85,6F085,2,25,20260419,2026-04-19 17:32:41.702,2026-04-19 19:32:42.000,120.0,False,False,17,False,
86,6F086,2,30,20260420,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,37.0,False,False,20,False,
87,6F087,2,19,20260418,2026-04-18 23:24:41.702,2026-04-19 03:10:41.702,226.0,True,True,23,False,
88,6F088,2,11,20260418,2026-04-18 05:51:41.702,2026-04-18 08:22:41.702,151.0,False,False,5,False,
89,6F089,2,19,20260417,2026-04-17 17:06:41.702,2026-04-17 19:10:41.702,124.0,False,False,17,False,
90,6F090,2,21,20260417,2026-04-17 15:10:41.702,2026-04-17 19:22:41.702,252.0,False,False,15,False,
91,6F091,2,2,20260420,2026-04-20 10:10:41.702,2026-04-20 11:36:41.702,86.0,False,False,10,False,
92,6F092,2,26,20260420,2026-04-20 08:39:41.702,2026-04-20 09:15:41.702,36.0,False,False,8,False,
93,6F093,2,13,20260417,2026-04-17 16:09:41.702,2026-04-17 20:00:41.702,231.0,False,False,16,False,
94,6F094,2,1,20260419,2026-04-19 07:37:41.702,2026-04-19 09:06:41.702,89.0,False,False,7,False,
95,6F095,2,5,20260418,2026-04-18 01:53:41.702,2026-04-18 05:34:41.702,221.0,False,True,1,False,
96,6F096,2,26,20260417,2026-04-17 22:45:41.702,2026-04-18 02:58:41.702,253.0,True,True,22,False,
97,6F097,2,1,20260420,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,77.0,False,False,15,False,
98,6F098,2,5,20260419,2026-04-19 10:18:41.702,2026-04-19 12:49:41.702,151.0,False,False,10,False,
99,6F099,2,29,20260420,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,False,True,22,False,
100,6F100,2,6,20260418,2026-04-18 04:40:41.702,2026-04-18 07:49:41.702,189.0,False,True,4,False,
101,6F101,2,10,20260418,2026-04-18 03:18:41.702,2026-04-18 08:15:41.702,297.0,False,True,3,False,
102,6F102,2,25,20260418,2026-04-18 01:10:41.702,2026-04-18 02:24:41.702,74.0,False,True,1,False,
103,6F103,2,15,20260418,2026-04-18 15:37:41.702,2026-04-18 18:32:41.702,175.0,False,False,15,False,
104,6F104,2,12,20260419,2026-04-19 05:39:41.702,2026-04-19 06:14:41.702,35.0,False,False,5,False,
105,6F105,2,1,20260420,2026-04-20 11:46:41.702,2026-04-20 12:58:41.702,72.0,False,False,11,False,
106,6F106,2,7,20260418,2026-04-18 00:10:41.702,2026-04-18 01:52:41.702,102.0,False,True,0,False,
107,6F107,2,11,20260418,2026-04-18 14:14:41.702,2026-04-18 17:14:42.000,180.0,False,False,14,False,
108,6F108,2,19,20260417,2026-04-17 23:41:41.702,2026-04-18 03:23:41.702,222.0,True,True,23,False,
109,6F109,2,1,20260418,2026-04-18 12:00:41.702,2026-04-18 12:51:41.702,51.0,False,False,12,False,
110,6F110,2,24,20260418,2026-04-18 02:27:41.702,2026-04-18 05:48:41.702,201.0,False,True,2,False,
111,6F111,2,24,20260418,2026-04-18 17:09:41.702,2026-04-18 20:02:41.702,173.0,False,False,17,False,
112,6F112,2,24,20260419,2026-04-19 21:00:41.702,2026-04-19 23:16:41.702,136.0,False,False,21,False,
113,6F113,2,7,20260419,2026-04-19 21:04:41.702,2026-04-20 01:30:41.702,266.0,True,False,21,False,
114,6F114,2,10,20260420,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,50.0,False,False,20,False,
115,6F115,2,26,20260419,2026-04-19 04:41:41.702,2026-04-19 06:23:41.702,102.0,False,True,4,False,
116,6F116,2,28,20260417,2026-04-17 16:43:41.702,2026-04-17 19:02:41.702,139.0,False,False,16,False,
117,6F117,2,13,20260419,2026-04-19 00:46:41.702,2026-04-19 01:51:41.702,65.0,False,True,0,False,
118,6F118,2,14,20260419,2026-04-19 19:52:41.702,2026-04-19 21:01:41.702,69.0,False,False,19,False,
119,6F119,2,17,20260418,2026-04-18 09:19:41.702,2026-04-18 11:33:41.702,134.0,False,False,9,False,
120,6F120,2,1,20260418,2026-04-18 05:14:41.702,2026-04-18 06:14:41.702,60.0,False,False,5,False,
121,6F121,2,25,20260418,2026-04-18 05:44:41.702,2026-04-18 10:42:41.702,298.0,False,False,5,False,
122,6F122,2,16,20260420,2026-04-20 01:44:41.702,2026-04-20 05:28:41.702,224.0,False,True,1,False,
123,6F123,2,19,20260420,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,106.0,False,False,15,False,
124,6F124,2,1,20260418,2026-04-18 10:47:41.702,2026-04-18 15:21:41.702,274.0,False,False,10,False,
125,6F125,2,7,20260419,2026-04-19 17:09:41.702,2026-04-19 21:13:41.702,244.0,False,False,17,False,
126,6F126,2,15,20260420,2026-04-20 08:21:41.702,2026-04-20 09:39:41.702,78.0,False,False,8,False,
127,6F127,2,22,20260419,2026-04-19 18:27:41.702,2026-04-19 22:28:41.702,241.0,False,False,18,False,
128,6F128,2,24,20260419,2026-04-19 16:56:41.702,2026-04-19 18:03:41.702,67.0,False,False,16,False,
129,6F129,2,18,20260420,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,139.0,False,False,14,False,
130,6F130,2,19,20260418,2026-04-18 01:27:41.702,2026-04-18 02:45:41.702,78.0,False,True,1,False,
131,6F131,2,4,20260418,2026-04-18 10:22:41.702,2026-04-18 14:20:41.702,238.0,False,False,10,False,
132,6F132,2,27,20260419,2026-04-19 12:00:41.702,2026-04-19 13:00:42.000,60.0,False,False,12,False,
133,6F133,2,26,20260420,2026-04-20 04:38:41.702,2026-04-20 06:25:41.702,107.0,False,True,4,False,
134,6F134,2,5,20260419,2026-04-19 12:47:41.702,2026-04-19 14:06:41.702,79.0,False,False,12,False,
135,6F135,2,30,20260419,2026-04-19 12:59:41.702,2026-04-19 13:45:41.702,46.0,False,False,12,False,
136,6F136,2,13,20260418,2026-04-18 20:24:41.702,2026-04-18 21:01:41.702,37.0,False,False,20,False,
137,6F137,2,13,20260418,2026-04-18 10:45:41.702,2026-04-18 15:01:41.702,256.0,False,False,10,False,
138,6F138,2,21,20260418,2026-04-18 09:49:41.702,2026-04-18 12:53:41.702,184.0,False,False,9,False,
139,6F139,2,25,20260418,2026-04-18 04:55:41.702,2026-04-18 08:17:41.702,202.0,False,True,4,False,
140,6F140,2,14,20260419,2026-04-19 16:30:41.702,2026-04-19 18:21:41.702,111.0,False,False,16,False,
141,6F141,2,7,20260418,2026-04-18 20:26:41.702,2026-04-18 22:28:41.702,122.0,False,False,20,False,
142,6F142,2,15,20260419,2026-04-19 02:05:41.702,2026-04-19 06:04:41.702,239.0,False,True,2,False,
143,6F143,2,13,20260420,2026-04-20 02:09:41.702,2026-04-20 06:08:41.702,239.0,False,True,2,False,
144,6F144,2,22,20260418,2026-04-18 11:56:41.702,2026-04-18 15:11:41.702,195.0,False,False,11,False,
145,6F145,2,13,20260419,2026-04-19 01:02:41.703,2026-04-19 02:18:41.703,76.0,False,True,1,False,
146,6F146,2,25,20260420,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,76.0,False,False,13,False,
147,6F147,2,25,20260417,2026-04-17 19:57:41.703,2026-04-18 00:31:41.703,274.0,True,False,19,False,
148,6F148,2,12,20260419,2026-04-19 20:23:41.703,2026-04-19 22:30:41.703,127.0,False,False,20,False,
149,6F149,2,2,20260420,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,165.0,False,False,17,False,
150,6F150,2,25,20260419,2026-04-19 12:55:41.703,2026-04-19 16:53:41.703,238.0,False,False,12,False,
151,6F151,2,14,20260420,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,False,False,19,False,
152,6F152,2,13,20260420,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,124.0,False,False,15,False,
153,6F153,2,11,20260418,2026-04-18 08:23:41.703,2026-04-18 12:20:41.703,237.0,False,False,8,False,
154,6F154,2,13,20260418,2026-04-18 11:26:41.703,2026-04-18 12:23:41.703,57.0,False,False,11,False,
155,6F155,2,16,20260418,2026-04-18 07:47:41.703,2026-04-18 08:20:41.703,33.0,False,False,7,False,
156,6F156,2,27,20260420,2026-04-20 02:23:41.703,2026-04-20 04:57:41.703,154.0,False,True,2,False,
157,6F157,2,28,20260418,2026-04-18 16:37:41.703,2026-04-18 18:04:41.703,87.0,False,False,16,False,
158,6F158,2,15,20260420,2026-04-20 11:58:41.703,2026-04-20 16:04:41.703,246.0,False,False,11,False,
159,6F159,2,12,20260418,2026-04-18 02:08:41.703,2026-04-18 02:43:41.703,35.0,False,True,2,False,
160,6F160,2,26,20260418,2026-04-18 04:09:41.703,2026-04-18 08:26:41.703,257.0,False,True,4,False,
161,6F161,2,29,20260418,2026-04-18 11:24:41.703,2026-04-18 12:21:41.703,57.0,False,False,11,False,
162,6F162,2,12,20260417,2026-04-17 14:50:41.703,2026-04-17 17:44:41.703,174.0,False,False,14,False,
163,6F163,2,27,20260419,2026-04-19 06:49:41.703,2026-04-19 10:46:41.703,237.0,False,False,6,False,
164,6F164,2,1,20260420,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,True,True,22,False,
165,6F165,2,1,20260418,2026-04-18 10:11:41.703,2026-04-18 11:09:41.703,58.0,False,False,10,False,
166,6F166,2,7,20260420,2026-04-20 00:03:41.703,2026-04-20 04:33:41.703,270.0,False,True,0,False,
167,6F167,2,1,20260418,2026-04-18 16:26:41.703,2026-04-18 17:50:41.703,84.0,False,False,16,False,
168,6F168,2,24,20260420,2026-04-20 12:18:41.703,2026-04-20 15:58:41.703,220.0,False,False,12,False,
169,6F169,2,8,20260420,2026-04-20 03:27:41.703,2026-04-20 08:06:41.703,279.0,False,True,3,False,
170,6F170,2,24,20260419,2026-04-19 02:44:41.703,2026-04-19 04:14:41.703,90.0,False,True,2,False,
171,6F171,2,16,20260418,2026-04-18 17:03:41.703,2026-04-18 18:12:41.703,69.0,False,False,17,False,
172,6F172,2,6,20260419,2026-04-19 09:53:41.703,2026-04-19 14:46:41.703,293.0,False,False,9,False,
173,6F173,2,7,20260418,2026-04-18 12:19:41.703,2026-04-18 13:08:41.703,49.0,False,False,12,False,
174,6F174,2,19,20260420,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,False,False,21,False,
175,6F175,2,28,20260419,2026-04-19 13:18:41.703,2026-04-19 15:13:41.703,115.0,False,False,13,False,
176,6F176,2,13,20260419,2026-04-19 20:23:42.000,2026-04-19 23:23:42.000,180.0,False,False,20,False,
177,6F177,2,25,20260420,2026-04-20 02:03:41.703,2026-04-20 04:25:41.703,142.0,False,True,2,False,
178,6F178,2,7,20260420,2026-04-20 04:48:41.703,2026-04-20 09:11:41.703,263.0,False,True,4,False,
179,6F179,2,25,20260420,2026-04-20 02:25:41.703,2026-04-20 06:40:41.703,255.0,False,True,2,False,
180,6F180,2,26,20260420,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,264.0,False,False,15,False,
181,6F181,2,10,20260420,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,108.0,False,False,14,False,
182,6F182,2,7,20260419,2026-04-19 02:10:41.703,2026-04-19 04:18:41.703,128.0,False,True,2,False,
183,6F183,2,30,20260417,2026-04-17 17:08:41.703,2026-04-17 19:52:41.703,164.0,False,False,17,False,
184,6F184,2,27,20260420,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,179.0,False,False,13,False,
185,6F185,2,13,20260418,2026-04-18 07:49:41.703,2026-04-18 10:08:41.703,139.0,False,False,7,False,
186,6F186,2,22,20260417,2026-04-17 21:48:41.703,2026-04-18 02:02:41.703,254.0,True,False,21,False,
187,6F187,2,10,20260420,2026-04-20 03:19:41.703,2026-04-20 07:37:41.703,258.0,False,True,3,False,
188,6F188,2,19,20260420,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,282.0,False,False,14,False,
189,6F189,2,26,20260418,2026-04-18 20:08:41.703,2026-04-18 21:51:41.703,103.0,False,False,20,False,
190,6F190,2,20,20260420,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,True,False,20,False,
191,6F191,2,3,20260420,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,30.0,False,False,14,False,
192,6F192,2,11,20260418,2026-04-18 12:20:41.703,2026-04-18 16:45:41.703,265.0,False,False,12,False,
193,6F193,2,10,20260420,2026-04-20 00:34:41.703,2026-04-20 02:32:41.703,118.0,False,True,0,False,
194,6F194,2,7,20260420,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,118.0,False,False,16,False,
195,6F195,2,13,20260420,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,False,False,21,False,
196,6F196,2,15,20260420,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,True,True,23,False,
197,6F197,2,6,20260418,2026-04-18 17:59:41.703,2026-04-18 22:44:41.703,285.0,False,False,17,False,
198,6F198,2,21,20260417,2026-04-17 12:40:41.703,2026-04-17 17:39:41.703,299.0,False,False,12,False,
199,6F199,2,20,20260419,2026-04-19 15:15:41.703,2026-04-19 17:32:41.703,137.0,False,False,15,False,
200,6F200,2,24,20260417,2026-04-17 14:54:41.703,2026-04-17 19:41:41.703,287.0,False,False,14,False,
201,6F201,2,12,20260420,2026-04-20 02:09:41.703,2026-04-20 06:49:41.703,280.0,False,True,2,False,
202,6F202,2,21,20260419,2026-04-19 20:18:41.703,2026-04-19 23:48:41.703,210.0,False,False,20,False,
203,6F203,2,4,20260418,2026-04-18 11:05:41.703,2026-04-18 12:56:41.703,111.0,False,False,11,False,
204,6F204,2,18,20260417,2026-04-17 13:23:41.703,2026-04-17 16:04:41.703,161.0,False,False,13,False,
205,6F205,2,22,20260417,2026-04-17 22:16:41.703,2026-04-18 00:02:41.703,106.0,True,True,22,False,
206,6F206,2,17,20260419,2026-04-19 16:39:41.703,2026-04-19 20:59:41.703,260.0,False,False,16,False,
207,6F207,2,9,20260417,2026-04-17 16:59:41.703,2026-04-17 21:00:41.703,241.0,False,False,16,False,
208,6F208,2,12,20260418,2026-04-18 08:27:41.703,2026-04-18 11:34:41.703,187.0,False,False,8,False,
209,6F209,2,28,20260420,2026-04-20 08:40:41.703,2026-04-20 13:40:41.703,300.0,False,False,8,False,
210,6F210,2,24,20260418,2026-04-18 11:51:41.703,2026-04-18 15:58:41.703,247.0,False,False,11,False,
211,6F211,2,26,20260419,2026-04-19 11:29:41.703,2026-04-19 16:20:41.703,291.0,False,False,11,False,
212,6F212,2,2,20260419,2026-04-19 06:10:41.703,2026-04-19 10:52:41.703,282.0,False,False,6,False,
213,6F213,2,1,20260420,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,True,False,21,False,
214,6F214,2,7,20260419,2026-04-19 01:21:41.703,2026-04-19 05:20:41.703,239.0,False,True,1,False,
215,6F215,2,16,20260417,2026-04-17 13:00:41.703,2026-04-17 17:30:41.703,270.0,False,False,13,False,
216,6F216,2,3,20260417,2026-04-17 21:58:41.704,2026-04-18 02:51:41.704,293.0,True,False,21,False,
217,6F217,2,1,20260418,2026-04-18 05:13:41.704,2026-04-18 08:01:41.704,168.0,False,False,5,False,
218,6F218,2,1,20260417,2026-04-17 15:16:41.704,2026-04-17 19:03:41.704,227.0,False,False,15,False,
219,6F219,2,29,20260419,2026-04-19 10:32:41.704,2026-04-19 14:37:41.704,245.0,False,False,10,False,
220,6F220,2,22,20260419,2026-04-19 10:27:41.704,2026-04-19 11:25:41.704,58.0,False,False,10,False,
221,6F221,2,29,20260419,2026-04-19 05:20:41.704,2026-04-19 08:52:41.704,212.0,False,False,5,False,
222,6F222,2,25,20260418,2026-04-18 14:01:41.704,2026-04-18 16:11:41.704,130.0,False,False,14,False,
223,6F223,2,26,20260417,2026-04-17 16:47:41.704,2026-04-17 17:21:41.704,34.0,False,False,16,False,
224,6F224,2,20,20260419,2026-04-19 16:53:41.704,2026-04-19 18:52:41.704,119.0,False,False,16,False,
225,6F225,2,23,20260418,2026-04-18 07:33:41.704,2026-04-18 12:12:41.704,279.0,False,False,7,False,
226,6F226,2,17,20260419,2026-04-19 00:38:41.704,2026-04-19 02:55:41.704,137.0,False,True,0,False,
227,6F227,2,27,20260418,2026-04-18 13:16:41.704,2026-04-18 17:41:41.704,265.0,False,False,13,False,
228,6F228,2,25,20260418,2026-04-18 04:36:41.704,2026-04-18 09:27:41.704,291.0,False,True,4,False,
229,6F229,2,29,20260420,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,80.0,False,False,13,False,
230,6F230,2,11,20260420,2026-04-20 03:34:41.704,2026-04-20 06:47:41.704,193.0,False,True,3,False,
231,6F231,2,25,20260418,2026-04-18 01:16:41.704,2026-04-18 05:43:41.704,267.0,False,True,1,False,
232,6F232,2,26,20260420,2026-04-20 10:39:41.704,2026-04-20 12:22:41.704,103.0,False,False,10,False,
233,6F233,2,1,20260418,2026-04-18 23:56:41.704,2026-04-19 03:53:41.704,237.0,True,True,23,False,
234,6F234,2,8,20260420,2026-04-20 11:20:41.704,2026-04-20 14:11:41.704,171.0,False,False,11,False,
235,6F235,2,25,20260419,2026-04-19 11:06:41.704,2026-04-19 13:51:41.704,165.0,False,False,11,False,
236,6F236,2,8,20260420,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,False,False,20,False,
237,6F237,2,25,20260419,2026-04-19 21:41:41.704,2026-04-20 00:44:41.704,183.0,True,False,21,False,
238,6F238,2,8,20260420,2026-04-20 08:31:41.704,2026-04-20 09:19:41.704,48.0,False,False,8,False,
239,6F239,2,12,20260417,2026-04-17 15:24:41.704,2026-04-17 17:37:41.704,133.0,False,False,15,False,
240,6F240,2,19,20260418,2026-04-18 15:31:41.704,2026-04-18 19:56:41.704,265.0,False,False,15,False,
241,6F241,2,19,20260417,2026-04-17 18:27:41.704,2026-04-17 19:02:41.704,35.0,False,False,18,False,
242,6F242,2,5,20260417,2026-04-17 21:10:41.704,2026-04-18 01:04:41.704,234.0,True,False,21,False,
