booking_sk,booking_id,flight_sk,passenger_sk,status_key,booking_date_key,seat_number
68,B1067,686,PSG_0ebad3f89464262d,4,20250723,7F
69,B1068,997,PSG_4b4d5b609fc96225,4,20251122,23A
70,B1069,925,PSG_ca17b6685d38dc4b,2,20250802,16E
71,B1070,560,PSG_c3d400bce98a9a1a,1,20250922,15D
72,B1071,988,PSG_2bd876c5fb9b3802,1,20251221,15F
73,B1072,862,PSG_3074c178b1a83e7e,1,20250810,18F
74,B1073,180,PSG_205bfc9459c08527,2,20251204,16A
75,B1074,188,PSG_e7975a2d542d8938,2,20250925,7A
76,B1075,904,PSG_b4447e028d03d5ca,2,20260103,2F
77,B1076,828,PSG_89d992f3de41e1f7,2,20250504,12B
78,B1077,954,PSG_4734054655d2760e,4,20250503,3A
79,B1078,77,PSG_d1ff91dc438773d9,2,20250921,1B
80,B1079,611,PSG_5b36cbff10dffd11,2,20250603,10D
81,B1080,549,PSG_7f2b7f1328a721bf,2,20250605,22D
82,B1081,728,PSG_87bda765b340ff0b,1,20251113,29C
83,B1082,676,PSG_0ba0a3de537c2059,1,20250909,30A
84,B1083,642,PSG_e5bb9805782e906d,1,20250512,9A
85,B1084,269,PSG_03dc55e8d36ecc6a,4,20250614,16E
86,B1085,923,PSG_6f2ab805b7ecf576,4,20260324,12A
87,B1086,763,PSG_e17de473247afa11,2,20260216,5D
88,B1087,492,PSG_d1f5a2dd8770e990,1,20250508,2F
89,B1088,607,PSG_46abf857d3731c89,4,20260325,31A
90,B1089,962,PSG_a8274a7069308344,1,20250903,25F
91,B1090,594,PSG_ab0cc58000026edf,4,20250516,31C
92,B1091,43,PSG_d4be194ee4d38f65,4,20250818,25D
93,B1092,960,PSG_a049a8ad9b91a13a,2,20260318,16D
94,B1093,847,PSG_cb454e5fa7fe8866,2,20250511,25E
95,B1094,777,PSG_11a9aed7e6cfa418,4,20260107,24C
96,B1095,194,PSG_3518727c43365222,2,20250730,14B
97,B1096,841,PSG_bfd4a6f0c87d17b3,4,20260103,12B
98,B1097,17,PSG_a13f29d012eddb76,5,20250826,34F
99,B1098,245,PSG_212d215c11f20af3,5,20251015,13D
100,B1099,253,PSG_3a5da39806f09743,2,20251207,26E
101,B1100,850,PSG_a7c57607f46a45de,2,20260305,16D
102,B1101,300,PSG_0a3cdbd8a9498f44,2,20250719,3D
103,B1102,722,PSG_9c676bde50673603,3,20251006,15F
104,B1103,513,PSG_4734054655d2760e,1,20250808,20D
105,B1104,513,PSG_b327ef9685f24a32,1,20250912,16E
106,B1105,570,PSG_82bb6287b38a92ee,2,20250911,19F
107,B1106,836,PSG_2bc29ac3662803c3,2,20250901,21F
108,B1107,327,PSG_4734054655d2760e,2,20250519,30F
109,B1108,980,PSG_016e1919cf8995e4,1,20251011,14B
110,B1109,939,PSG_bcc81bcad531d2fd,1,20251203,33D
111,B1110,260,PSG_b80fa2da5c1863ff,4,20251217,12B
112,B1111,907,PSG_f08b466607c00d9d,1,20251225,34A
113,B1112,152,PSG_608b9554fa432e18,4,20251002,27A
114,B1113,615,PSG_b6c6c1d4fabcb50f,2,20251123,5A
115,B1114,123,PSG_72e620f1598bac4b,1,20250926,2E
116,B1115,296,PSG_eb69f92e4a333057,2,20250823,10A
117,B1116,30,PSG_a3af87c5055994ee,2,20251205,19B
118,B1117,748,PSG_811d928e08ad9e62,2,20250902,28F
119,B1118,882,PSG_14fb0c41dbf082c5,2,20260403,34B
120,B1119,643,PSG_da8d2227bf0e70c0,1,20251125,21F
121,B1120,668,PSG_b99bcb32c95b73e9,2,20250812,12D
122,B1121,668,PSG_6d1896a0dc72f12d,4,20250601,17C
123,B1122,301,PSG_151a1561b2526b92,1,20250502,20B
124,B1123,97,PSG_4db6bbfe54fbe80e,2,20250923,8A
125,B1124,129,PSG_ab1cba8a3bc34368,1,20250523,5C
126,B1125,181,PSG_d0f42e10445ba2a1,4,20260115,27E
127,B1126,343,PSG_9eefa0090480ceea,2,20251020,10E
128,B1127,680,PSG_5b00c1ef52dfad3f,4,20250629,2E
129,B1128,302,PSG_1aa38a7e68918364,2,20260408,10D
130,B1129,302,PSG_4392bea15d234991,4,20250918,26F
131,B1130,158,PSG_f409687e8233a0fc,2,20251226,34E
132,B1131,184,PSG_21f9c9db0af37ae2,1,20250616,1C
133,B1132,914,PSG_a0ef81cf7a9d0b6a,2,20250620,10D
134,B1133,168,PSG_dd4cd2e3c8aff8e2,1,20251229,23D
135,B1134,51,PSG_0e0f5939d985d3cd,2,20250728,34C
136,B1135,47,PSG_440ec21c303ada26,2,20251202,20E
137,B1136,929,PSG_89d992f3de41e1f7,4,20251026,28E
138,B1137,365,PSG_171f7044145e8622,4,20250901,13E
139,B1138,309,PSG_db76302904ee6fb1,4,20250714,6C
140,B1139,254,PSG_892547c4cf89fcf8,2,20260119,29F
141,B1140,551,PSG_15907c5fb3d44b97,2,20260123,29D
142,B1141,711,PSG_4c0e8b6133b7327f,2,20251028,9C
143,B1142,258,PSG_715a2f40782243a2,1,20260121,5C
144,B1143,73,PSG_1f4eb97872afffb0,1,20260407,15A
145,B1144,362,PSG_f78a297b353ed60e,2,20250926,6D
146,B1145,191,PSG_341f489540bc9870,4,20250823,15D
147,B1146,1001,PSG_146fd7ec8587c6a2,4,20250830,25A
148,B1147,146,PSG_414d214687272534,4,20260325,11E
149,B1148,68,PSG_0da862688b96018d,2,20251013,19A
150,B1149,744,PSG_37610609bde45a96,4,20260108,30F
151,B1150,856,PSG_ef181d4c1cc299e8,2,20250925,12A
152,B1151,533,PSG_52c5b9b5db667d7c,1,20260118,29B
153,B1152,348,PSG_2bd876c5fb9b3802,4,20250814,27A
154,B1153,790,PSG_9290e543d27a5e94,1,20251220,8D
155,B1154,229,PSG_1f44ab16111d8404,4,20260217,24A
156,B1155,74,PSG_7f443edb4d02580a,2,20251008,6D
157,B1156,614,PSG_6a93e165bb0940ae,2,20260325,5E
158,B1157,693,PSG_7f8524bd0388dbef,2,20250628,18B
159,B1158,234,PSG_5c6dc5c8834bf905,2,20250720,22A
160,B1159,844,PSG_3b04aa9ac13e7358,4,20251210,22F
161,B1160,449,PSG_4c22ae157429e6ca,1,20251121,29A
162,B1161,877,PSG_0cf803f2b332c240,2,20251114,12A
163,B1162,417,PSG_a0c43ea5293b512c,3,20250422,32D
164,B1163,761,PSG_4c501d5224c44b53,1,20251110,13D
165,B1164,209,PSG_f361ebce0c909065,2,20250424,24A
166,B1165,400,PSG_db0032f2cd517cf1,1,20250820,2F
167,B1166,667,PSG_2cb68a8b9b62dfeb,2,20260123,34D
168,B1167,544,PSG_2bc29ac3662803c3,1,20260202,9F
169,B1168,893,PSG_4a0a260c2ad2aa47,1,20251014,11C
170,B1169,349,PSG_458dfa6ad52a7d98,2,20251115,11E
171,B1170,350,PSG_5af5d2428e21bb0b,4,20250914,15E
172,B1171,860,PSG_6f17cc6a743b5f61,1,20250919,21A
173,B1172,906,PSG_fb5bb10b9fbbe219,2,20260117,8F
174,B1173,493,PSG_6d2d56d3d89d30cc,1,20250601,22E
175,B1174,49,PSG_c2829255fd5b1448,1,20260412,19D
176,B1175,105,PSG_0ebad3f89464262d,4,20260129,27D
177,B1176,752,PSG_99a696f8efd37538,1,20250417,7C
178,B1177,753,PSG_7f2b7f1328a721bf,1,20250729,34D
179,B1178,34,PSG_f39ab45686de1ddc,2,20260205,34E
180,B1179,604,PSG_484c63787a356d59,2,20251003,33D
181,B1180,511,PSG_534915966b26e0ea,4,20260410,22F
182,B1181,528,PSG_21fb7d88f61bb14b,1,20260329,12E
183,B1182,315,PSG_4f2572849dddadd6,1,20250811,3A
184,B1183,849,PSG_5f320626f0cee837,1,20250622,8C
185,B1184,232,PSG_b00c31925371f945,4,20250801,28E
186,B1185,754,PSG_49fd4ad9b20dacd8,1,20250816,25E
187,B1186,600,PSG_d5ff00f813d01dfe,2,20260404,1B
188,B1187,1002,PSG_93b3fe0962dbd697,4,20250804,7F
189,B1188,479,PSG_37dda8ff70bd28d6,2,20260404,6A
190,B1189,290,PSG_4c22ae157429e6ca,2,20251123,14F
191,B1190,29,PSG_0822445cdfd921c2,4,20250523,12B
192,B1191,18,PSG_aab1a4bcde21ff61,2,20250427,25B
193,B1192,330,PSG_9d74c3adc19a8c73,1,20250623,7D
194,B1193,430,PSG_93b3fe0962dbd697,4,20250522,13D
195,B1194,91,PSG_f5963150ae36c285,2,20250711,14F
196,B1195,84,PSG_a4b9f8bc4863e11b,1,20250720,10B
197,B1196,943,PSG_441446333993112f,1,20260115,20C
198,B1197,985,PSG_f18cc9d101ace797,2,20250519,2E
199,B1198,548,PSG_6c0ad61eab2cf224,3,20250616,29A
200,B1199,601,PSG_21fb7d88f61bb14b,4,20251213,30E
201,B1200,950,PSG_ee1f38e4c979640a,2,20250917,16B
202,B1201,979,PSG_a18091875c24eb75,1,20260201,3A
203,B1202,852,PSG_17abe9b36a8689b8,1,20250429,29C
204,B1203,813,PSG_fd3a7c2d4526d6c1,2,20250621,3B
205,B1204,305,PSG_74426589f7e33e9d,2,20250725,30A
206,B1205,807,PSG_efab6798499e2dc4,2,20251018,23F
207,B1206,359,PSG_d40a3d430d831c45,2,20250702,13A
208,B1207,399,PSG_715a2f40782243a2,4,20250611,26A
209,B1208,578,PSG_1ee9de5559d54b54,3,20250722,9A
210,B1209,504,PSG_19a84d7a295910a2,4,20251215,3A
211,B1210,283,PSG_d669610938ec1d61,4,20260120,3C
212,B1211,355,PSG_896c3da3464e7e0c,2,20250707,34A
213,B1212,126,PSG_8a596134df58240c,4,20250708,34B
214,B1213,587,PSG_7e294ffe4c66a427,2,20250616,2E
215,B1214,967,PSG_db0032f2cd517cf1,5,20250814,23B
216,B1215,406,PSG_1691abe0103c3904,1,20250808,28C
217,B1216,238,PSG_eb69f92e4a333057,2,20251209,10A
218,B1217,92,PSG_72b1859097a1598e,1,20260319,32C
219,B1218,484,PSG_3f15dd189bbc9ebb,4,20251113,2D
220,B1219,966,PSG_5ffbd865fd7cabb6,1,20260215,1B
221,B1220,178,PSG_8ae3ce7d2491c2f6,4,20260404,29C
222,B1221,429,PSG_1853027b7c78d483,2,20260306,19D
223,B1222,981,PSG_279b0c0775067b33,4,20260330,8A
224,B1223,56,PSG_ca5abfe8d4341a46,5,20260409,15A
225,B1224,958,PSG_ef181d4c1cc299e8,2,20251026,1E
226,B1225,434,PSG_5e91029dc0fc24ca,4,20260113,4D
227,B1226,383,PSG_a59daad3d88cce5e,2,20250823,15C
228,B1227,498,PSG_e99de47c92f9ce3d,1,20251023,12A
229,B1228,609,PSG_57f740298d2677ca,2,20260417,29D
230,B1229,846,PSG_356a5d1b978b01d0,2,20260207,13F
231,B1230,169,PSG_53623bade0776c84,4,20250429,6C
232,B1231,927,PSG_59e12b2731023904,1,20260406,27D
233,B1232,695,PSG_53623bade0776c84,2,20251006,32F
234,B1233,187,PSG_ab0cc58000026edf,1,20250513,5F
235,B1234,983,PSG_e46700cf6408f1e8,1,20251121,33A
236,B1235,-1,PSG_b93b49454f690783,4,20251223,13D
237,B1236,333,PSG_279b0c0775067b33,2,20250705,25A
238,B1237,318,PSG_a38fd1f05f97a457,5,20251116,15B
239,B1238,712,PSG_171f7044145e8622,5,20251020,8E
240,B1239,488,PSG_0f90e6d800eb8748,1,20251117,30A
241,B1240,873,PSG_ea88f2e97a8d805b,2,20251231,17A
242,B1241,889,PSG_5e0f733907e54eb4,2,20251216,10A
243,B1242,36,PSG_18663b2f2db1d5e1,1,20251201,26C
244,B1243,446,PSG_b2b5b95d3d1cff4b,1,20260122,29E
245,B1244,824,PSG_e1d0046ae5620b99,2,20250818,27D
246,B1245,201,PSG_755af8725eed0d3f,5,20260417,26A
247,B1246,230,PSG_e10923053029577f,2,20260409,33B
248,B1247,664,PSG_19fe0077dc558f2d,1,20250813,15F
249,B1248,517,PSG_1899fdf9be04bbde,4,20260304,16B
250,B1249,179,PSG_0ea470ad4ce9c275,1,20250606,26B
251,B1250,31,PSG_8a58eaeddb83c129,1,20260128,16F
252,B1251,788,PSG_a350d8cdba959d3b,4,20250830,29A
253,B1252,774,PSG_e161084a3576b5d4,1,20250421,27C
254,B1253,133,PSG_2309609d9a3a7196,1,20260227,15E
255,B1254,143,PSG_4b4d5b609fc96225,1,20250722,5D
256,B1255,938,PSG_b985379bceeca614,1,20250922,23F
257,B1256,83,PSG_a1843b863b5aa25d,1,20250810,22B
258,B1257,353,PSG_fde23c293ef16533,1,20250819,11C
259,B1258,435,PSG_4665bbd67bbe5eda,1,20251028,21F
260,B1259,681,PSG_ee7c2fc243e2df4d,1,20260119,31F
261,B1260,460,PSG_0296b966e95c1483,1,20260104,1D
262,B1261,583,PSG_3a5da39806f09743,2,20251221,34A
263,B1262,724,PSG_14e40c47cb1b2298,2,20250507,16F
264,B1263,122,PSG_3428b2f00ea4c443,1,20260103,6C
265,B1264,623,PSG_583a655f9c3989ef,2,20260415,12A
266,B1265,976,PSG_b7a34fd550df9a95,4,20250806,28F
267,B1266,866,PSG_0a07ba89faea51ba,2,20260116,27F
268,B1267,476,PSG_b546889913068c44,1,20250521,32A
269,B1268,373,PSG_f0911c43c01ef3f2,3,20260116,12A
270,B1269,46,PSG_b0ae5549b0aa10ff,2,20250906,4C
271,B1270,543,PSG_b62ad3cdc286d04a,5,20250602,22E
272,B1271,156,PSG_e9b9dfda833612b6,4,20251020,28B
273,B1272,339,PSG_3eb3041c85af322d,4,20250718,19A
274,B1273,421,PSG_61d9a8d54d407bb1,5,20250605,28B
275,B1274,781,PSG_3a40c9509e2dc0bf,4,20251015,20D
276,B1275,166,PSG_771f53a4e27ff9ba,4,20250711,18F
277,B1276,177,PSG_4372bde5ec19b83e,2,20250715,1A
278,B1277,467,PSG_1f9dbc0a07d21e96,4,20260119,12E
279,B1278,717,PSG_751de1bdb2fa513a,2,20250809,5B
280,B1279,19,PSG_1007424982c466cf,5,20250510,28C
281,B1280,497,PSG_933aa806d2c6b820,2,20260412,33B
282,B1281,733,PSG_bbef6bd81f156000,1,20260121,4A
283,B1282,280,PSG_006be132dc6dc7e3,1,20251230,8B
284,B1283,374,PSG_1557a87fd264e7b2,3,20250508,29D
285,B1284,653,PSG_2d7681149518a24b,1,20260222,25F
286,B1285,961,PSG_ca17b6685d38dc4b,1,20260326,25B
287,B1286,10,PSG_79c04877da24b313,3,20250925,33B
288,B1287,624,PSG_3f98a39479c83db2,1,20251213,5F
289,B1288,58,PSG_ea68b82c00a4b612,4,20251211,18C
290,B1289,556,PSG_f913addb4d323bc4,4,20260323,24F
291,B1290,948,PSG_15281efbf1c58474,1,20250726,16F
292,B1291,634,PSG_e161378790a019a7,4,20260401,28E
293,B1292,75,PSG_dd4cd2e3c8aff8e2,2,20250803,7C
294,B1293,995,PSG_1899fdf9be04bbde,2,20250831,25F
295,B1294,-1,PSG_33a3a4b54a0af5db,1,20250713,34B
296,B1295,367,PSG_4670e3d823bb9d3f,1,20251229,14B
297,B1296,487,PSG_9a775ffb200afa5a,1,20251223,1B
298,B1297,193,PSG_905c226ad398704d,4,20260123,8A
299,B1298,720,PSG_df2b7c74af48fcf1,4,20260102,6C
300,B1299,546,PSG_ac6493d2def000e1,2,20250911,16F
301,B1300,70,PSG_160670f6903b3995,4,20250614,21C
302,B1301,322,PSG_905c226ad398704d,2,20250903,12A
303,B1302,992,PSG_25a040c532034a30,4,20251227,3D
304,B1303,506,PSG_53623bade0776c84,2,20251213,20A
305,B1304,22,PSG_f02901b1af09d980,3,20251213,18E
306,B1305,640,PSG_2af4f5824c709c00,4,20250928,13C
307,B1306,602,PSG_c2bc608db06de9a2,2,20251201,30A
308,B1307,1000,PSG_4a0a260c2ad2aa47,4,20260126,32E
309,B1308,908,PSG_b5a6068a3c262a3c,1,20250722,30D
310,B1309,505,PSG_37f8f648da682e26,2,20250506,30F
311,B1310,113,PSG_0e7dc1a026c8b734,4,20250820,5D
312,B1311,732,PSG_120a65f6e19015f8,4,20251116,9D
313,B1312,286,PSG_2431d66b6154b9bd,5,20260329,6E
314,B1313,259,PSG_59790a5da4b16bd9,1,20250516,33E
315,B1314,332,PSG_771f53a4e27ff9ba,2,20250428,19C
316,B1315,237,PSG_57f740298d2677ca,4,20260326,9C
317,B1316,625,PSG_03cc66a89297f941,4,20260106,27C
318,B1317,672,PSG_8db9321ae9159d68,1,20260224,21F
319,B1318,672,PSG_e7975a2d542d8938,1,20250523,29B
320,B1319,71,PSG_369ccad58e104312,2,20250504,4C
321,B1320,271,PSG_74426589f7e33e9d,4,20250813,6C
322,B1321,555,PSG_9f4f42f21fb842d2,4,20260212,13A
323,B1322,857,PSG_355553ed01455a78,2,20250727,6E
324,B1323,574,PSG_920cf82b83a61392,2,20260206,14D
325,B1324,379,PSG_1e81a36b9caf7f54,1,20260204,33B
326,B1325,660,PSG_2a489b7b751d2cb4,1,20250811,3B
327,B1326,919,PSG_aa4caefdecfbeaf7,2,20251031,14F
328,B1327,562,PSG_d143cd7dc8fdce46,2,20250924,26C
329,B1328,202,PSG_3428b2f00ea4c443,4,20251101,33B
330,B1329,814,PSG_c45ea7cb8e59ca45,2,20260213,22C
331,B1330,78,PSG_a1843b863b5aa25d,2,20251206,23A
332,B1331,368,PSG_d7102e2ba04119bf,4,20250703,22C
333,B1332,932,PSG_51a56d4124c6315b,2,20260115,7D
334,B1333,817,PSG_cf792149749086c4,1,20250906,12B
335,B1334,176,PSG_353f293aa820a586,1,20250927,6F
336,B1335,747,PSG_3a40c9509e2dc0bf,4,20260211,4A
337,B1336,112,PSG_3074c178b1a83e7e,2,20250703,22A
338,B1337,246,PSG_3eb3041c85af322d,3,20251020,4C
339,B1338,14,PSG_60552fc4b854bb75,1,20260221,14C
340,B1339,508,PSG_78f6ee9b814ae1c1,1,20250917,28A
341,B1340,3,PSG_e9b9dfda833612b6,1,20251214,12E
342,B1341,249,PSG_aded24a56b27081b,2,20250704,5A
343,B1342,922,PSG_458dfa6ad52a7d98,2,20250429,4A
344,B1343,689,PSG_b184138c17ef1243,2,20260308,9F
345,B1344,769,PSG_a7c57607f46a45de,2,20260328,1D
346,B1345,886,PSG_8950b4178512e57c,1,20250606,1A
347,B1346,342,PSG_9a775ffb200afa5a,4,20250607,30E
348,B1347,270,PSG_5a73134865a7ca24,4,20260207,22A
349,B1348,541,PSG_b844cecb01828c9b,1,20250605,27E
350,B1349,820,PSG_5b00c1ef52dfad3f,1,20251119,9E
351,B1350,793,PSG_e4ab0da72b5aea1f,4,20260204,12A
352,B1351,393,PSG_a3ba9a6b20e5323d,4,20250903,27F
353,B1352,996,PSG_0fbebaf8a2572126,1,20251020,17D
354,B1353,148,PSG_b737bbba5d917e53,1,20250919,15F
355,B1354,688,PSG_f94945c01d54085b,2,20251214,34A
356,B1355,127,PSG_6fa59d7e9f1ae691,2,20260330,28B
357,B1356,444,PSG_20bc844d6325ee4e,4,20251110,11F
358,B1357,65,PSG_190faf1c895eba7d,5,20260205,14A
359,B1358,324,PSG_2ef711294e79ae5f,4,20250622,20A
360,B1359,512,PSG_623a7d63868ca9d5,2,20251022,14E
361,B1360,376,PSG_d2506808cb35ab5a,5,20250615,18D
362,B1361,381,PSG_b7544e8b848453dd,4,20250824,13F
363,B1362,523,PSG_c86b2d1270e4ab76,2,20251022,15B
364,B1363,420,PSG_f913addb4d323bc4,1,20251214,3B
365,B1364,495,PSG_358571c66995667b,4,20250909,23F
366,B1365,931,PSG_bf6f9a6625797ea4,1,20250703,15B
367,B1366,125,PSG_7dae7847f411938d,1,20250505,25E
368,B1367,937,PSG_626e7eb0c910134e,2,20251214,18A
369,B1368,780,PSG_2594fcfb289c865e,1,20251226,1E
370,B1369,118,PSG_0e0f5939d985d3cd,4,20260318,15F
371,B1370,530,PSG_0a3cdbd8a9498f44,1,20260101,19C
372,B1371,206,PSG_48d17631425f8214,1,20250925,15E
373,B1372,656,PSG_2a489b7b751d2cb4,1,20250511,11D
374,B1373,596,PSG_99e2e7edb2cd6c97,1,20260214,22F
375,B1374,356,PSG_b985379bceeca614,1,20250424,7F
376,B1375,635,PSG_74426589f7e33e9d,2,20250902,15B
377,B1376,439,PSG_5ffa84a44db7e156,4,20250824,16B
378,B1377,896,PSG_20a750d5f688ecfc,2,20251024,26A
379,B1378,883,PSG_963a125aca5d1f72,4,20260116,30D
380,B1379,477,PSG_93de86aa32c88a38,4,20251102,31C
381,B1380,7,PSG_581b4cd15d8c2442,4,20260416,6B
382,B1381,539,PSG_b5a6068a3c262a3c,4,20251111,33A
383,B1382,834,PSG_f2db3cdff8668f85,4,20250919,20D
384,B1383,281,PSG_c6b91e2c4fe07199,1,20250924,8C
385,B1384,295,PSG_64b3729bd8b9a961,2,20250516,11D
386,B1385,903,PSG_d810b6795856b18d,2,20250608,30B
387,B1386,432,PSG_4e8947d0b96fe2e7,1,20260312,10A
388,B1387,734,PSG_af5a99ce09377b82,4,20250723,24F
389,B1388,38,PSG_fe510f5b1cd53590,3,20250923,8D
390,B1389,85,PSG_f3a60c8cabba7a4c,5,20260222,30D
391,B1390,554,PSG_fbbeb91f81b79b4f,1,20260309,8C
392,B1391,610,PSG_21f9c9db0af37ae2,2,20251126,21F
393,B1392,410,PSG_5a73134865a7ca24,2,20260327,21D
394,B1393,952,PSG_0780df8c368d64e5,4,20260406,26E
395,B1394,255,PSG_37f8f648da682e26,4,20250723,23F
396,B1395,796,PSG_d811996946ec4236,3,20260210,23B
397,B1396,310,PSG_89d513064afe3016,5,20250803,13E
398,B1397,963,PSG_db63fd9f13030c4b,1,20260205,28D
399,B1398,224,PSG_c3cc2f73c0654b9d,4,20260204,3E
400,B1399,994,PSG_e68e902952042dba,4,20250531,7A
401,B1400,633,PSG_db0032f2cd517cf1,1,20260402,12F
402,B1401,928,PSG_6fc1f09c05ae5a1d,5,20250420,21D
403,B1402,956,PSG_4235d4bb9c46b632,1,20260321,7E
404,B1403,729,PSG_e7c01e32c8aa9f12,4,20250508,26A
405,B1404,252,PSG_f78a297b353ed60e,3,20260307,16A
406,B1405,371,PSG_bcc81bcad531d2fd,4,20250826,32F
407,B1406,140,PSG_3fd7a0c32004df38,2,20250624,15D
408,B1407,821,PSG_f33f770694dead37,2,20250826,25A
409,B1408,730,PSG_59e12b2731023904,2,20250729,12F
410,B1409,878,PSG_c9f38e54715e20fd,2,20260324,28C
411,B1410,369,PSG_364b3ec5123733c6,2,20260413,32C
412,B1411,13,PSG_f0911c43c01ef3f2,1,20251012,1A
413,B1412,128,PSG_896c3da3464e7e0c,1,20251118,28E
414,B1413,564,PSG_b546889913068c44,5,20251005,14A
415,B1414,708,PSG_ebd185df372e4fe5,2,20260107,25F
416,B1415,199,PSG_0aada988e6b5b0c2,4,20260322,23B
417,B1416,713,PSG_db65fc3ac40c5099,1,20250817,20B
418,B1417,453,PSG_65c70e8de59b4199,4,20250818,8E
419,B1418,553,PSG_5eed1bab7e72c2d2,4,20250504,19D
420,B1419,588,PSG_ca58825aa07eeed1,2,20260120,20E
421,B1420,687,PSG_1828303aa68aa0b1,2,20260224,27B
422,B1421,831,PSG_8e184e0dc06822b8,5,20251003,23C
423,B1422,452,PSG_4670e3d823bb9d3f,1,20260104,12D
424,B1423,274,PSG_4a1ccc95662ed2e6,2,20250612,14A
425,B1424,150,PSG_f02901b1af09d980,1,20251105,11D
426,B1425,701,PSG_76b093f7808a3577,1,20250628,34E
